Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,0.323821,0.352737,0.323711,0.343041,0.343041,8312792
2020-11-21,0.343041,0.350859,0.337786,0.345612,0.345612,5675909
2020-11-22,0.345612,0.376703,0.334718,0.347979,0.347979,13401726
2020-11-23,0.347978,0.399060,0.342353,0.378843,0.378843,20507458
2020-11-24,0.378818,0.422120,0.371983,0.411331,0.411331,24587660
2020-11-25,0.411337,0.430715,0.390959,0.406999,0.406999,19131386
2020-11-26,0.406840,0.406973,0.339492,0.349426,0.349426,16734894
2020-11-27,0.349363,0.405784,0.348762,0.383946,0.383946,12268538
2020-11-28,0.383866,0.390163,0.377558,0.384963,0.384963,3909234
2020-11-29,0.384977,0.384977,0.375149,0.380112,0.380112,4218055
2020-11-30,0.380114,0.418772,0.379847,0.398241,0.398241,18468467
2020-12-01,0.398182,0.427953,0.382810,0.389021,0.389021,15810972
2020-12-02,0.389122,0.408563,0.382665,0.408162,0.408162,9869088
2020-12-03,0.408574,0.502472,0.408574,0.502472,0.502472,48022362
2020-12-04,0.502464,0.507546,0.450616,0.450943,0.450943,36824958
2020-12-05,0.451114,0.510012,0.446395,0.510012,0.510012,25740866
2020-12-06,0.510016,0.510232,0.485714,0.501651,0.501651,6600184
2020-12-07,0.501311,0.513363,0.491307,0.508309,0.508309,12968313
2020-12-08,0.508276,0.529778,0.466991,0.472702,0.472702,20789225
2020-12-09,0.472696,0.516415,0.468162,0.492121,0.492121,20412558
2020-12-10,0.492105,0.499938,0.475493,0.475544,0.475544,11112746
2020-12-11,0.475587,0.488971,0.456771,0.464116,0.464116,12571391
2020-12-12,0.464129,0.486357,0.462206,0.482556,0.482556,6828770
2020-12-13,0.482670,0.483089,0.475330,0.479711,0.479711,6970116
2020-12-14,0.479729,0.480469,0.469333,0.471983,0.471983,8243048
2020-12-15,0.472088,0.478224,0.468155,0.478224,0.478224,6430014
2020-12-16,0.478136,0.527724,0.477662,0.503791,0.503791,25685610
2020-12-17,0.503784,0.533556,0.478464,0.483337,0.483337,28461398
2020-12-18,0.483244,0.534273,0.479013,0.532016,0.532016,24000670
2020-12-19,0.532129,0.543320,0.525109,0.537624,0.537624,9957575
2020-12-20,0.537642,0.537847,0.479562,0.488902,0.488902,17375873
2020-12-21,0.488863,0.519293,0.447507,0.469172,0.469172,24033931
2020-12-22,0.469158,0.509601,0.464134,0.509494,0.509494,20323964
2020-12-23,0.509516,0.513792,0.453839,0.460945,0.460945,15076749
2020-12-24,0.460983,0.535206,0.452706,0.519229,0.519229,26066462
2020-12-25,0.519261,0.564532,0.515712,0.538190,0.538190,66626092
2020-12-26,0.538179,0.574221,0.538179,0.540418,0.540418,17138673
2020-12-27,0.540561,0.568327,0.527533,0.551844,0.551844,25466340
2020-12-28,0.551911,0.651786,0.548572,0.620016,0.620016,45908595
2020-12-29,0.619897,0.675630,0.607021,0.647971,0.647971,45435072
2020-12-30,0.648026,0.699682,0.642884,0.669073,0.669073,36201554
2020-12-31,0.668939,0.680318,0.631311,0.652520,0.652520,17821137
2021-01-01,0.652896,0.671331,0.633700,0.649443,0.649443,16190074
2021-01-02,0.649375,0.649818,0.619372,0.631426,0.631426,19299747
2021-01-03,0.631591,0.680439,0.627878,0.661895,0.661895,32764781
2021-01-04,0.661846,0.721749,0.638461,0.670244,0.670244,51922005
2021-01-05,0.670082,0.720844,0.650546,0.716674,0.716674,43799821
2021-01-06,0.716962,0.721520,0.703237,0.716177,0.716177,17479500
